yr,resid_curr,resid_regis,pop_mig
2008,Guangdong,Neimenggu,28524
2009,Guangdong,Neimenggu,26737
2010,Guangdong,Neimenggu,26024
2011,Guangdong,Neimenggu,25585
2012,Guangdong,Neimenggu,26576
2013,Guangdong,Neimenggu,27299
2014,Guangdong,Neimenggu,28164
2004,Guangdong,Liaoning,82804
2005,Guangdong,Liaoning,79307
2006,Guangdong,Liaoning,77344
2007,Guangdong,Liaoning,75159
2008,Guangdong,Liaoning,73127
2009,Guangdong,Liaoning,69503
2010,Guangdong,Liaoning,68570
2011,Guangdong,Liaoning,69297
2012,Guangdong,Liaoning,73905
2013,Guangdong,Liaoning,77857
2014,Guangdong,Liaoning,82291
2004,Guangdong,Jilin,84679
2005,Guangdong,Jilin,81103
2006,Guangdong,Jilin,80737
2007,Guangdong,Jilin,79985
2008,Guangdong,Jilin,79251
2009,Guangdong,Jilin,76629
2010,Guangdong,Jilin,76839
2011,Guangdong,Jilin,78093
2012,Guangdong,Jilin,83721
2013,Guangdong,Jilin,88627
2014,Guangdong,Jilin,94099
2004,Guangdong,Heilongjiang,152016
2005,Guangdong,Heilongjiang,145596
2006,Guangdong,Heilongjiang,138672
2007,Guangdong,Heilongjiang,131657
2008,Guangdong,Heilongjiang,125205
2009,Guangdong,Heilongjiang,116358
2010,Guangdong,Heilongjiang,112290
2011,Guangdong,Heilongjiang,113901
2012,Guangdong,Heilongjiang,121892
2013,Guangdong,Heilongjiang,128821
2014,Guangdong,Heilongjiang,136564
2004,Guangdong,Shanghai,25466
2005,Guangdong,Shanghai,24391
2006,Guangdong,Shanghai,22217
2007,Guangdong,Shanghai,20126
2008,Guangdong,Shanghai,18214
2009,Guangdong,Shanghai,16063
2010,Guangdong,Shanghai,14662
2011,Guangdong,Shanghai,15298
2012,Guangdong,Shanghai,16791
2013,Guangdong,Shanghai,18158
2014,Guangdong,Shanghai,19656
2004,Guangdong,Jiangsu,216384
2005,Guangdong,Jiangsu,207246
2006,Guangdong,Jiangsu,190184
2007,Guangdong,Jiangsu,173685
2008,Guangdong,Jiangsu,158595
2009,Guangdong,Jiangsu,141243
2010,Guangdong,Jiangsu,130341
2011,Guangdong,Jiangsu,130735
2012,Guangdong,Jiangsu,138448
2013,Guangdong,Jiangsu,144887
2014,Guangdong,Jiangsu,152186
2004,Guangdong,Zhejiang,219665
2005,Guangdong,Zhejiang,210388
2006,Guangdong,Zhejiang,2.00E+05
2007,Guangdong,Zhejiang,189517
2008,Guangdong,Zhejiang,179880
2009,Guangdong,Zhejiang,166843
2010,Guangdong,Zhejiang,160693
2011,Guangdong,Zhejiang,160236
2012,Guangdong,Zhejiang,168745
2013,Guangdong,Zhejiang,175659
2014,Guangdong,Zhejiang,183577
2004,Guangdong,Anhui,689928
2005,Guangdong,Anhui,660792
2006,Guangdong,Anhui,617158
2007,Guangdong,Anhui,574285
2008,Guangdong,Anhui,534997
2009,Guangdong,Anhui,486784
2010,Guangdong,Anhui,459660
2011,Guangdong,Anhui,443434
2012,Guangdong,Anhui,451969
2013,Guangdong,Anhui,455535
2014,Guangdong,Anhui,461106
2004,Guangdong,Fujian,591188
2005,Guangdong,Fujian,566222
2006,Guangdong,Fujian,542107
2007,Guangdong,Fujian,517369
2008,Guangdong,Fujian,494583
2009,Guangdong,Fujian,462037
2010,Guangdong,Fujian,448211
2011,Guangdong,Fujian,436536
2012,Guangdong,Fujian,449251
2013,Guangdong,Fujian,457234
2014,Guangdong,Fujian,467414
2004,Guangdong,Jiangxi,2534735
2005,Guangdong,Jiangxi,2427692
2006,Guangdong,Jiangxi,2326621
2007,Guangdong,Jiangxi,2222657
2008,Guangdong,Jiangxi,2126861
2009,Guangdong,Jiangxi,1988855
2010,Guangdong,Jiangxi,1931223
2011,Guangdong,Jiangxi,1891761
2012,Guangdong,Jiangxi,1958038
2013,Guangdong,Jiangxi,2004218
2014,Guangdong,Jiangxi,2060493
2004,Guangdong,Shandong,246536
2005,Guangdong,Shandong,236125
2006,Guangdong,Shandong,219745
2007,Guangdong,Shandong,203712
2008,Guangdong,Shandong,189027
2009,Guangdong,Shandong,171278
2010,Guangdong,Shandong,161027
2011,Guangdong,Shandong,153575
2012,Guangdong,Shandong,154691
2013,Guangdong,Shandong,154019
2014,Guangdong,Shandong,153947
2004,Guangdong,Henan,2676751
2005,Guangdong,Henan,2563711
2006,Guangdong,Henan,2403048
2007,Guangdong,Henan,2244506
2008,Guangdong,Henan,2099149
2009,Guangdong,Henan,1917789
2010,Guangdong,Henan,1818674
2011,Guangdong,Henan,1700792
2012,Guangdong,Henan,1677678
2013,Guangdong,Henan,1633450
2014,Guangdong,Henan,1594033
2004,Guangdong,Hubei,3250441
2005,Guangdong,Hubei,3113174
2006,Guangdong,Hubei,2967352
2007,Guangdong,Hubei,2819376
2008,Guangdong,Hubei,2683245
2009,Guangdong,Hubei,2495562
2010,Guangdong,Hubei,2410157
2011,Guangdong,Hubei,2336567
2012,Guangdong,Hubei,2393488
2013,Guangdong,Hubei,2424669
2014,Guangdong,Hubei,2467032
2004,Guangdong,Hunan,6170292
2005,Guangdong,Hunan,5909718
2006,Guangdong,Hunan,5675567
2007,Guangdong,Hunan,5433232
2008,Guangdong,Hunan,5209776
2009,Guangdong,Hunan,4881678
2010,Guangdong,Hunan,4749817
2011,Guangdong,Hunan,4671941
2012,Guangdong,Hunan,4855270
2013,Guangdong,Hunan,4989692
2014,Guangdong,Hunan,5150059
2004,Guangdong,Guangxi,4596550
2005,Guangdong,Guangxi,4402436
2006,Guangdong,Guangxi,4260019
2007,Guangdong,Guangxi,4108432
2008,Guangdong,Guangxi,3968203
2009,Guangdong,Guangxi,3744932
2010,Guangdong,Guangxi,3669411
2011,Guangdong,Guangxi,3672971
2012,Guangdong,Guangxi,3882117
2013,Guangdong,Guangxi,4055208
2014,Guangdong,Guangxi,4252050
2004,Guangdong,Hainan,233570
2005,Guangdong,Hainan,223706
2006,Guangdong,Hainan,212177
2007,Guangdong,Hainan,200594
2008,Guangdong,Hainan,189951
2009,Guangdong,Hainan,175771
2010,Guangdong,Hainan,168889
2011,Guangdong,Hainan,166397
2012,Guangdong,Hainan,173210
2013,Guangdong,Hainan,178291
2014,Guangdong,Hainan,184311
2004,Guangdong,Chongqing,1441880
2005,Guangdong,Chongqing,1380989
2006,Guangdong,Chongqing,1290591
2007,Guangdong,Chongqing,1201705
2008,Guangdong,Chongqing,1120248
2009,Guangdong,Chongqing,1020009
2010,Guangdong,Chongqing,963885
2011,Guangdong,Chongqing,914007
2012,Guangdong,Chongqing,915106
2013,Guangdong,Chongqing,905357
2014,Guangdong,Chongqing,898890
2004,Guangdong,Sichuan,3836786
2005,Guangdong,Sichuan,3674757
2006,Guangdong,Sichuan,3463751
2007,Guangdong,Sichuan,3253934
2008,Guangdong,Sichuan,3061385
2009,Guangdong,Sichuan,2814166
2010,Guangdong,Sichuan,2685776
2011,Guangdong,Sichuan,2526573
2012,Guangdong,Sichuan,2508207
2013,Guangdong,Sichuan,2459065
2014,Guangdong,Sichuan,2417893
2004,Guangdong,Guizhou,1304551
2005,Guangdong,Guizhou,1249459
2006,Guangdong,Guizhou,1196113
2007,Guangdong,Guizhou,1141405
2008,Guangdong,Guizhou,1091013
2009,Guangdong,Guizhou,1019108
2010,Guangdong,Guizhou,988505
2011,Guangdong,Guizhou,976937
2012,Guangdong,Guizhou,1020006
2013,Guangdong,Guizhou,1053022
2014,Guangdong,Guizhou,1091708
2004,Guangdong,Yunnan,248412
2005,Guangdong,Yunnan,237921
2006,Guangdong,Yunnan,263055
2007,Guangdong,Yunnan,284543
2008,Guangdong,Yunnan,303869
2009,Guangdong,Yunnan,313488
2010,Guangdong,Yunnan,332695
2011,Guangdong,Yunnan,361640
2012,Guangdong,Yunnan,410929
2013,Guangdong,Yunnan,457724
2014,Guangdong,Yunnan,508339
2004,Guangdong,Tibet,312
2005,Guangdong,Tibet,299
2006,Guangdong,Tibet,538
2007,Guangdong,Tibet,752
2008,Guangdong,Tibet,947
2009,Guangdong,Tibet,1096
2010,Guangdong,Tibet,1267
2011,Guangdong,Tibet,1012
2012,Guangdong,Tibet,812
2013,Guangdong,Tibet,593
2014,Guangdong,Tibet,367
2004,Guangdong,Shaanxi,601500
2005,Guangdong,Shaanxi,576098
2006,Guangdong,Shaanxi,550900
2007,Guangdong,Shaanxi,525131
2008,Guangdong,Shaanxi,501404
2009,Guangdong,Shaanxi,467852
2010,Guangdong,Shaanxi,453315
2011,Guangdong,Shaanxi,424166
2012,Guangdong,Shaanxi,418652
2013,Guangdong,Shaanxi,407882
2014,Guangdong,Shaanxi,398325
2004,Guangdong,Gansu,157484
2005,Guangdong,Gansu,150833
2006,Guangdong,Gansu,146755
2007,Guangdong,Gansu,142285
2008,Guangdong,Gansu,138138
2009,Guangdong,Gansu,131017
2010,Guangdong,Gansu,128998
2011,Guangdong,Gansu,122900
2012,Guangdong,Gansu,123658
2013,Guangdong,Gansu,122981
2014,Guangdong,Gansu,122776
2004,Guangdong,Qinghai,13905
2005,Guangdong,Qinghai,13318
2006,Guangdong,Qinghai,13475
2007,Guangdong,Qinghai,13548
2008,Guangdong,Qinghai,13606
2009,Guangdong,Qinghai,13318
2010,Guangdong,Qinghai,13507
2011,Guangdong,Qinghai,13103
2012,Guangdong,Qinghai,13431
2013,Guangdong,Qinghai,13615
2014,Guangdong,Qinghai,13862
2004,Guangdong,Ningxia,10624
2005,Guangdong,Ningxia,10175
2006,Guangdong,Ningxia,10130
2007,Guangdong,Ningxia,10036
2008,Guangdong,Ningxia,9945
2009,Guangdong,Ningxia,9616
2010,Guangdong,Ningxia,9643
2011,Guangdong,Ningxia,9681
2012,Guangdong,Ningxia,10260
2013,Guangdong,Ningxia,10745
2014,Guangdong,Ningxia,11295
2004,Guangdong,Xinjiang,28435
2005,Guangdong,Xinjiang,27234
2006,Guangdong,Xinjiang,27394
2007,Guangdong,Xinjiang,27397
2008,Guangdong,Xinjiang,27383
2009,Guangdong,Xinjiang,26689
2010,Guangdong,Xinjiang,26960
2011,Guangdong,Xinjiang,24782
2012,Guangdong,Xinjiang,23983
2013,Guangdong,Xinjiang,22860
2014,Guangdong,Xinjiang,21783
2004,Guangxi,Beijing,1622
2005,Guangxi,Beijing,1796
2006,Guangxi,Beijing,1873
2007,Guangxi,Beijing,1934
2008,Guangxi,Beijing,1989
2009,Guangxi,Beijing,1990
2010,Guangxi,Beijing,2060
2011,Guangxi,Beijing,1942
2012,Guangxi,Beijing,1927
2013,Guangxi,Beijing,1881
2014,Guangxi,Beijing,1834
2004,Guangxi,Tianjin,2297
2005,Guangxi,Tianjin,2544
2006,Guangxi,Tianjin,2510
2007,Guangxi,Tianjin,2427
2008,Guangxi,Tianjin,2308
2009,Guangxi,Tianjin,2096
2010,Guangxi,Tianjin,1918
2011,Guangxi,Tianjin,1788
2012,Guangxi,Tianjin,1751
2013,Guangxi,Tianjin,1684
2014,Guangxi,Tianjin,1614
2004,Guangxi,Hebei,5000
2005,Guangxi,Hebei,5537
2006,Guangxi,Hebei,6317
2007,Guangxi,Hebei,7148
2008,Guangxi,Hebei,8074
2009,Guangxi,Hebei,8891
2010,Guangxi,Hebei,10157
2011,Guangxi,Hebei,13989
2012,Guangxi,Hebei,18806
2013,Guangxi,Hebei,23824
2014,Guangxi,Hebei,29337
2004,Guangxi,Shanxi,945
2005,Guangxi,Shanxi,1047
2006,Guangxi,Shanxi,1552
2007,Guangxi,Shanxi,2132
2008,Guangxi,Shanxi,2803
2009,Guangxi,Shanxi,3492
2010,Guangxi,Shanxi,4423
2011,Guangxi,Shanxi,5116
2012,Guangxi,Shanxi,6132
2013,Guangxi,Shanxi,7157
2014,Guangxi,Shanxi,8288
2004,Guangxi,Neimenggu,405
2005,Guangxi,Neimenggu,449
2006,Guangxi,Neimenggu,866
2007,Guangxi,Neimenggu,1352
2008,Guangxi,Neimenggu,1918
2009,Guangxi,Neimenggu,2514
2010,Guangxi,Neimenggu,3301
2011,Guangxi,Neimenggu,3526
2012,Guangxi,Neimenggu,3960
2013,Guangxi,Neimenggu,4377
2014,Guangxi,Neimenggu,4841
2004,Guangxi,Liaoning,2972
2005,Guangxi,Liaoning,3292
2006,Guangxi,Liaoning,3751
2007,Guangxi,Liaoning,4240
2008,Guangxi,Liaoning,4783
2009,Guangxi,Liaoning,5262
2010,Guangxi,Liaoning,6006
2011,Guangxi,Liaoning,6095
2012,Guangxi,Liaoning,6528
2013,Guangxi,Liaoning,6908
2014,Guangxi,Liaoning,7334
2004,Guangxi,Jilin,945
2005,Guangxi,Jilin,1047
2006,Guangxi,Jilin,1870
2007,Guangxi,Jilin,2825
2008,Guangxi,Jilin,3937
2009,Guangxi,Jilin,5102
2010,Guangxi,Jilin,6647
2011,Guangxi,Jilin,6846
2012,Guangxi,Jilin,7438
2013,Guangxi,Jilin,7978
2014,Guangxi,Jilin,8581
2004,Guangxi,Heilongjiang,3378
2005,Guangxi,Heilongjiang,3741
2006,Guangxi,Heilongjiang,4560
2007,Guangxi,Heilongjiang,5466
2008,Guangxi,Heilongjiang,6496
2009,Guangxi,Heilongjiang,7484
2010,Guangxi,Heilongjiang,8904
2011,Guangxi,Heilongjiang,9080
2012,Guangxi,Heilongjiang,9771
2013,Guangxi,Heilongjiang,10386
2014,Guangxi,Heilongjiang,11075
2004,Guangxi,Shanghai,405
2005,Guangxi,Shanghai,449
2006,Guangxi,Shanghai,609
2007,Guangxi,Shanghai,790
2008,Guangxi,Shanghai,999
2009,Guangxi,Shanghai,1209
2010,Guangxi,Shanghai,1498
2011,Guangxi,Shanghai,1681
2012,Guangxi,Shanghai,1967
2013,Guangxi,Shanghai,2252
2014,Guangxi,Shanghai,2567
2004,Guangxi,Jiangsu,5270
2005,Guangxi,Jiangsu,5836
2006,Guangxi,Jiangsu,6624
2007,Guangxi,Jiangsu,7460
2008,Guangxi,Jiangsu,8387
2009,Guangxi,Jiangsu,9198
2010,Guangxi,Jiangsu,10466
2011,Guangxi,Jiangsu,10553
2012,Guangxi,Jiangsu,11233
2013,Guangxi,Jiangsu,11814
2014,Guangxi,Jiangsu,12468
2004,Guangxi,Zhejiang,24996
2005,Guangxi,Zhejiang,27683
2006,Guangxi,Zhejiang,28054
2007,Guangxi,Zhejiang,28036
2008,Guangxi,Zhejiang,27765
2009,Guangxi,Zhejiang,26569
2010,Guangxi,Zhejiang,26072
2011,Guangxi,Zhejiang,26106
2012,Guangxi,Zhejiang,27597
2013,Guangxi,Zhejiang,28825
2014,Guangxi,Zhejiang,30217
2004,Guangxi,Anhui,7296
2005,Guangxi,Anhui,8080
2006,Guangxi,Anhui,10109
2007,Guangxi,Anhui,12375
2008,Guangxi,Anhui,14960
2009,Guangxi,Anhui,17485
2010,Guangxi,Anhui,21055
2011,Guangxi,Anhui,19684
2012,Guangxi,Anhui,19336
2013,Guangxi,Anhui,18666
2014,Guangxi,Anhui,17969
2004,Guangxi,Fujian,19861
2005,Guangxi,Fujian,21996
2006,Guangxi,Fujian,23924
2007,Guangxi,Fujian,25840
2008,Guangxi,Fujian,27890
2009,Guangxi,Fujian,29384
2010,Guangxi,Fujian,32147
2011,Guangxi,Fujian,32030
2012,Guangxi,Fujian,33691
2013,Guangxi,Fujian,35016
2014,Guangxi,Fujian,36525
2004,Guangxi,Jiangxi,18375
2005,Guangxi,Jiangxi,20350
2006,Guangxi,Jiangxi,22038
2007,Guangxi,Jiangxi,23699
2008,Guangxi,Jiangxi,25463
2009,Guangxi,Jiangxi,26703
2010,Guangxi,Jiangxi,29075
2011,Guangxi,Jiangxi,28979
2012,Guangxi,Jiangxi,30491
2013,Guangxi,Jiangxi,31701
2014,Guangxi,Jiangxi,33078
2004,Guangxi,Shandong,1756
2005,Guangxi,Shandong,1945
2006,Guangxi,Shandong,3331
2007,Guangxi,Shandong,4938
2008,Guangxi,Shandong,6805
2009,Guangxi,Shandong,8756
2010,Guangxi,Shandong,11351
2011,Guangxi,Shandong,11807
2012,Guangxi,Shandong,12944
2013,Guangxi,Shandong,14003
2014,Guangxi,Shandong,15182
2004,Guangxi,Henan,12835
2005,Guangxi,Henan,14215
2006,Guangxi,Henan,16689
2007,Guangxi,Henan,19378
2008,Guangxi,Henan,22406
2009,Guangxi,Henan,25208
2010,Guangxi,Henan,29368
2011,Guangxi,Henan,29405
2012,Guangxi,Henan,31083
2013,Guangxi,Henan,32465
2014,Guangxi,Henan,34031
2004,Guangxi,Hubei,21347
2005,Guangxi,Hubei,23642
2006,Guangxi,Hubei,25996
2007,Guangxi,Hubei,28390
2008,Guangxi,Hubei,30985
2009,Guangxi,Hubei,33012
2010,Guangxi,Hubei,36528
2011,Guangxi,Hubei,34691
2012,Guangxi,Hubei,34687
2013,Guangxi,Hubei,34168
2014,Guangxi,Hubei,33664
2004,Guangxi,Hunan,109847
2005,Guangxi,Hunan,121654
2006,Guangxi,Hunan,128251
2007,Guangxi,Hunan,134046
2008,Guangxi,Hunan,139747
2009,Guangxi,Hunan,141925
2010,Guangxi,Hunan,149347
2011,Guangxi,Hunan,140121
2012,Guangxi,Hunan,138201
2013,Guangxi,Hunan,134038
2014,Guangxi,Hunan,129743
2004,Guangxi,Guangdong,56612
2005,Guangxi,Guangdong,62697
2006,Guangxi,Guangdong,68110
2007,Guangxi,Guangdong,73477
2008,Guangxi,Guangdong,79206
2009,Guangxi,Guangdong,83341
2010,Guangxi,Guangdong,91060
2011,Guangxi,Guangdong,103713
2012,Guangxi,Guangdong,122824
2013,Guangxi,Guangdong,142011
2014,Guangxi,Guangdong,163188
2004,Guangxi,Hainan,4594
2005,Guangxi,Hainan,5088
2006,Guangxi,Hainan,5678
2007,Guangxi,Hainan,6292
2008,Guangxi,Hainan,6966
2009,Guangxi,Hainan,7528
2010,Guangxi,Hainan,8446
2011,Guangxi,Hainan,8131
2012,Guangxi,Hainan,8252
2013,Guangxi,Hainan,8262
2014,Guangxi,Hainan,8288
2004,Guangxi,Chongqing,7701
2005,Guangxi,Chongqing,8529
2006,Guangxi,Chongqing,9708
2007,Guangxi,Chongqing,10962
2008,Guangxi,Chongqing,12356
2009,Guangxi,Chongqing,13581
2010,Guangxi,Chongqing,15488
2011,Guangxi,Chongqing,15305
2012,Guangxi,Chongqing,15965
2013,Guangxi,Chongqing,16454
2014,Guangxi,Chongqing,17016
2004,Guangxi,Sichuan,17024
2005,Guangxi,Sichuan,18854
2006,Guangxi,Sichuan,22435
2007,Guangxi,Sichuan,26358
2008,Guangxi,Sichuan,30790
2009,Guangxi,Sichuan,34957
2010,Guangxi,Sichuan,41056
2011,Guangxi,Sichuan,38786
2012,Guangxi,Sichuan,38553
2013,Guangxi,Sichuan,37725
2014,Guangxi,Sichuan,36891
2004,Guangxi,Guizhou,21753
2005,Guangxi,Guizhou,24091
2006,Guangxi,Guizhou,26502
2007,Guangxi,Guizhou,28955
2008,Guangxi,Guizhou,31616
2009,Guangxi,Guizhou,33700
2010,Guangxi,Guizhou,37306
2011,Guangxi,Guizhou,34907
2012,Guangxi,Guizhou,34324
2013,Guangxi,Guizhou,33172
2014,Guangxi,Guizhou,31977
2004,Guangxi,Yunnan,8782
2005,Guangxi,Yunnan,9726
2006,Guangxi,Yunnan,11152
2007,Guangxi,Yunnan,12677
2008,Guangxi,Yunnan,14378
2009,Guangxi,Yunnan,15896
2010,Guangxi,Yunnan,18226
2011,Guangxi,Yunnan,17118
2012,Guangxi,Yunnan,16903
2013,Guangxi,Yunnan,16416
2014,Guangxi,Yunnan,15915
2004,Guangxi,Tibet,0
2005,Guangxi,Tibet,0
2006,Guangxi,Tibet,24
2007,Guangxi,Tibet,53
2008,Guangxi,Tibet,87
2009,Guangxi,Tibet,123
2010,Guangxi,Tibet,170
2011,Guangxi,Tibet,159
2012,Guangxi,Tibet,157
2013,Guangxi,Tibet,152
2014,Guangxi,Tibet,147
2004,Guangxi,Shaanxi,2297
2005,Guangxi,Shaanxi,2544
2006,Guangxi,Shaanxi,3220
2007,Guangxi,Shaanxi,3978
2008,Guangxi,Shaanxi,4844
2009,Guangxi,Shaanxi,5695
2010,Guangxi,Shaanxi,6891
2011,Guangxi,Shaanxi,6790
2012,Guangxi,Shaanxi,7062
2013,Guangxi,Shaanxi,7256
2014,Guangxi,Shaanxi,7481
2004,Guangxi,Gansu,1351
2005,Guangxi,Gansu,1496
2006,Guangxi,Gansu,1749
2007,Guangxi,Gansu,2023
2008,Guangxi,Gansu,2331
2009,Guangxi,Gansu,2615
2010,Guangxi,Gansu,3038
2011,Guangxi,Gansu,2978
2012,Guangxi,Gansu,3081
2013,Guangxi,Gansu,3148
2014,Guangxi,Gansu,3227
2004,Guangxi,Qinghai,675
2005,Guangxi,Qinghai,748
2006,Guangxi,Qinghai,811
2007,Guangxi,Qinghai,872
2008,Guangxi,Qinghai,938
2009,Guangxi,Qinghai,985
2010,Guangxi,Qinghai,1073
2011,Guangxi,Qinghai,1027
2012,Guangxi,Qinghai,1036
2013,Guangxi,Qinghai,1031
2014,Guangxi,Qinghai,1027
2004,Guangxi,Ningxia,270
2005,Guangxi,Ningxia,299
2006,Guangxi,Ningxia,353
2007,Guangxi,Ningxia,413
2008,Guangxi,Ningxia,480
2009,Guangxi,Ningxia,542
2010,Guangxi,Ningxia,634
2011,Guangxi,Ningxia,523
2012,Guangxi,Ningxia,435
2013,Guangxi,Ningxia,332
2014,Guangxi,Ningxia,220
2004,Guangxi,Xinjiang,1216
2005,Guangxi,Xinjiang,1347
2006,Guangxi,Xinjiang,1541
2007,Guangxi,Xinjiang,1748
2008,Guangxi,Xinjiang,1979
2009,Guangxi,Xinjiang,2184
2010,Guangxi,Xinjiang,2500
2011,Guangxi,Xinjiang,2814
2012,Guangxi,Xinjiang,3302
2013,Guangxi,Xinjiang,3789
2014,Guangxi,Xinjiang,4327
2004,Guizhou,Beijing,1677
2005,Guizhou,Beijing,1796
2006,Guizhou,Beijing,1680
2007,Guizhou,Beijing,1535
2008,Guizhou,Beijing,1368
2009,Guizhou,Beijing,1148
2010,Guizhou,Beijing,942
2011,Guizhou,Beijing,1096
2012,Guizhou,Beijing,1325
2013,Guizhou,Beijing,1564
2014,Guizhou,Beijing,1834
2004,Guizhou,Tianjin,140
2005,Guizhou,Tianjin,150
2006,Guizhou,Tianjin,233
2007,Guizhou,Tianjin,325
2008,Guizhou,Tianjin,429
2009,Guizhou,Tianjin,534
2010,Guizhou,Tianjin,674
2011,Guizhou,Tianjin,670
2012,Guizhou,Tianjin,699
2013,Guizhou,Tianjin,716
2014,Guizhou,Tianjin,733
2004,Guizhou,Hebei,3075
2005,Guizhou,Hebei,3292
2006,Guizhou,Hebei,3788
2007,Guizhou,Hebei,4322
2008,Guizhou,Hebei,4921
2009,Guizhou,Hebei,5461
2010,Guizhou,Hebei,6285
2011,Guizhou,Hebei,6606
2012,Guizhou,Hebei,7300
2013,Guizhou,Hebei,7946
2014,Guizhou,Hebei,8654
2004,Guizhou,Shanxi,1118
2005,Guizhou,Shanxi,1197
2006,Guizhou,Shanxi,1442
2007,Guizhou,Shanxi,1709
2008,Guizhou,Shanxi,2009
2009,Guizhou,Shanxi,2291
2010,Guizhou,Shanxi,2700
2011,Guizhou,Shanxi,2452
2012,Guizhou,Shanxi,2293
2013,Guizhou,Shanxi,2051
2014,Guizhou,Shanxi,1760
2004,Guizhou,Neimenggu,279
2005,Guizhou,Neimenggu,299
2006,Guizhou,Neimenggu,410
2007,Guizhou,Neimenggu,532
2008,Guizhou,Neimenggu,670
2009,Guizhou,Neimenggu,807
2010,Guizhou,Neimenggu,993
2011,Guizhou,Neimenggu,1049
2012,Guizhou,Neimenggu,1165
2013,Guizhou,Neimenggu,1274
2014,Guizhou,Neimenggu,1394
2004,Guizhou,Liaoning,1537
2005,Guizhou,Liaoning,1646
2006,Guizhou,Liaoning,1776
2007,Guizhou,Liaoning,1911
2008,Guizhou,Liaoning,2060
2009,Guizhou,Liaoning,2174
2010,Guizhou,Liaoning,2387
2011,Guizhou,Liaoning,2208
2012,Guizhou,Liaoning,2115
2013,Guizhou,Liaoning,1956
2014,Guizhou,Liaoning,1760
2004,Guizhou,Jilin,559
2005,Guizhou,Jilin,599
2006,Guizhou,Jilin,917
2007,Guizhou,Jilin,1272
2008,Guizhou,Jilin,1672
2009,Guizhou,Jilin,2074
2010,Guizhou,Jilin,2610
2011,Guizhou,Jilin,2324
2012,Guizhou,Jilin,2116
2013,Guizhou,Jilin,1820
2014,Guizhou,Jilin,1467
2004,Guizhou,Heilongjiang,1397
2005,Guizhou,Heilongjiang,1496
2006,Guizhou,Heilongjiang,1699
2007,Guizhou,Heilongjiang,1916
2008,Guizhou,Heilongjiang,2160
2009,Guizhou,Heilongjiang,2375
2010,Guizhou,Heilongjiang,2712
2011,Guizhou,Heilongjiang,2447
2012,Guizhou,Heilongjiang,2269
2013,Guizhou,Heilongjiang,2004
2014,Guizhou,Heilongjiang,1687
2004,Guizhou,Shanghai,839
2005,Guizhou,Shanghai,898
2006,Guizhou,Shanghai,989
2007,Guizhou,Shanghai,1085
2008,Guizhou,Shanghai,1193
2009,Guizhou,Shanghai,1282
2010,Guizhou,Shanghai,1432
2011,Guizhou,Shanghai,2575
2012,Guizhou,Shanghai,4004
2013,Guizhou,Shanghai,5592
2014,Guizhou,Shanghai,7408
2004,Guizhou,Jiangsu,5730
2005,Guizhou,Jiangsu,6135
2006,Guizhou,Jiangsu,7010
2007,Guizhou,Jiangsu,7951
2008,Guizhou,Jiangsu,9005
2009,Guizhou,Jiangsu,9947
2010,Guizhou,Jiangsu,11400
2011,Guizhou,Jiangsu,15056
2012,Guizhou,Jiangsu,19967
2013,Guizhou,Jiangsu,25279
2014,Guizhou,Jiangsu,31317
2004,Guizhou,Zhejiang,24317
2005,Guizhou,Zhejiang,26037
2006,Guizhou,Zhejiang,25887
2007,Guizhou,Zhejiang,25520
2008,Guizhou,Zhejiang,25062
2009,Guizhou,Zhejiang,23911
2010,Guizhou,Zhejiang,23534
2011,Guizhou,Zhejiang,34973
2012,Guizhou,Zhejiang,49732
2013,Guizhou,Zhejiang,65939
2014,Guizhou,Zhejiang,84418
2004,Guizhou,Anhui,7966
2005,Guizhou,Anhui,8529
2006,Guizhou,Anhui,9484
2007,Guizhou,Anhui,10497
2008,Guizhou,Anhui,11628
2009,Guizhou,Anhui,12589
2010,Guizhou,Anhui,14167
2011,Guizhou,Anhui,15641
2012,Guizhou,Anhui,18099
2013,Guizhou,Anhui,20565
2014,Guizhou,Anhui,23323
2004,Guizhou,Fujian,17469
2005,Guizhou,Fujian,18704
2006,Guizhou,Fujian,19243
2007,Guizhou,Fujian,19710
2008,Guizhou,Fujian,20207
2009,Guizhou,Fujian,20242
2010,Guizhou,Fujian,21067
2011,Guizhou,Fujian,24242
2012,Guizhou,Fujian,29065
2013,Guizhou,Fujian,34057
2014,Guizhou,Fujian,39678
2004,Guizhou,Jiangxi,9084
2005,Guizhou,Jiangxi,9726
2006,Guizhou,Jiangxi,10830
2007,Guizhou,Jiangxi,12000
2008,Guizhou,Jiangxi,13308
2009,Guizhou,Jiangxi,14422
2010,Guizhou,Jiangxi,16245
2011,Guizhou,Jiangxi,17088
2012,Guizhou,Jiangxi,18902
2013,Guizhou,Jiangxi,20590
2014,Guizhou,Jiangxi,22443
2004,Guizhou,Shandong,3913
2005,Guizhou,Shandong,4190
2006,Guizhou,Shandong,5125
2007,Guizhou,Shandong,6147
2008,Guizhou,Shandong,7296
2009,Guizhou,Shandong,8388
2010,Guizhou,Shandong,9951
2011,Guizhou,Shandong,9378
2012,Guizhou,Shandong,9196
2013,Guizhou,Shandong,8763
2014,Guizhou,Shandong,8214
2004,Guizhou,Henan,11180
2005,Guizhou,Henan,11971
2006,Guizhou,Henan,13455
2007,Guizhou,Henan,15038
